shap_token,Semantic_Depth
satisfactory,1
continues,1
et,1
[,1
straightforward,1
202,1
.,1
pressing,1
reducing,1
promising,1
without,1
learning,1
actively,1
),1
202,1
.,1
),1
.,1
1996,1
],1
unim,1
1,1
strong,1
),1
ineffective,1
.,1
conflicts,1
[,1
but,1
202,1
202,1
paper,1
automatically,1
202,1
only,1
2002,1
allows,1
),1
.,1
202,1
extra,1
best,1
in,1
2007,1
commonly,1
.,1
improvements,1
overlo,1
been,1
too,1
],1
2003,1
1997,1
.,1
(,1
201,1
],1
about,1
En,1
],1
",",1
.,1
1992,1
2002,1
not,1
effectively,1
),1
63,1
not,1
overl,1
discour,1
),1
improve,1
over,1
2003,1
continue,1
1990,1
Jacob,1
than,1
contradict,1
overlo,1
202,1
using,1
],1
),1
varies,1
popular,1
],1
7,1
only,1
without,1
described,1
.,1
state,1
2007,1
),1
optimize,1
objects,1
],1
effectively,1
202,1
],1
b,1
concerns,1
without,1
202,1
promotes,1
(,1
202,1
experiments,1
The,1
.,1
seminal,1
suffered,1
(,1
wide,1
Harris,1
each,1
well,1
small,1
.,1
no,1
than,1
],1
1997,1
9,1
Lopez,1
202,1
),1
1,1
],1
202,1
2003,1
disabled,1
Another,1
1993,1
this,1
erroneous,1
learning,1
.,1
202,1
],1
However,1
Garcia,1
(,1
improvements,1
ineffective,1
],1
proofs,1
",",1
25,1
not,1
achieved,1
ignore,1
good,1
2007,1
ignore,1
],1
incompatible,1
success,1
235,1
),1
",",1
202,1
novel,1
],1
While,1
2007,1
pressing,1
by,1
],1
],1
does,1
202,1
Brown,1
employed,1
202,1
202,1
Alternatively,1
2006,1
.,1
[,1
1992,1
.,1
(,1
),1
314,1
developed,1
1997,1
],1
starting,1
important,1
2005,1
questionable,1
202,1
.,1
69,1
),1
),1
2006,1
improvement,1
],1
[,1
.,1
Additionally,1
202,1
becoming,1
overhead,1
202,1
However,1
],1
not,1
effectively,1
innovative,1
.,1
not,1
2002,1
.,1
thoroughly,1
not,1
395,1
exceeds,1
hur,1
yet,1
hur,1
2003,1
software,1
improves,1
without,1
incompatible,1
.,1
required,1
unf,1
.,1
Recently,1
well,1
Garcia,1
.,1
Second,1
dispute,1
1,1
actively,1
revolution,1
],1
insensitive,1
.,1
suffered,1
202,1
avoid,1
effectively,1
not,1
.,1
174,1
202,1
),1
.,1
cannot,1
learning,1
improve,1
2007,1
),1
appropriately,1
effectiveness,1
substantial,1
],1
],1
[,1
help,1
not,1
vulnerable,1
robust,1
essential,1
without,1
al,1
averaged,1
without,1
202,1
202,1
2007,1
],1
The,1
6,1
],1
2007,1
al,1
paper,1
not,1
implemented,1
al,1
simplest,1
.,1
continues,1
not,1
not,1
without,1
2002,1
202,1
unstable,1
2016,1
inconsistencies,1
202,1
],1
impractical,1
not,1
mistakes,1
[,1
(,1
fails,0
.,1
not,1
),1
.,1
debug,1
definition,1
The,1
],1
.,1
),1
guarantees,1
algorithm,1
202,1
",",1
not,1
does,1
.,1
vulnerable,1
],1
2003,1
202,1
not,1
no,1
),1
suitable,1
holds,1
202,1
1993,1
],0
simplest,1
2002,1
purposes,1
202,1
not,1
substantial,1
.,1
second,1
.,1
unnecessary,1
without,1
PERSON,1
202,1
202,1
not,1
202,1
[,1
.,1
excellent,1
),1
regularly,1
202,1
.,1
robust,1
9,1
202,1
overlo,1
2,1
3,1
201,1
not,1
.,1
4,1
concern,1
improvements,1
seamless,1
improvements,1
?,1
did,1
holds,1
generalize,1
art,1
202,1
202,1
is,1
demonstrated,1
2007,1
uation,1
continue,1
.,1
redundant,1
2004,1
but,1
[,1
3,1
202,1
101,1
instability,1
202,1
learning,1
rarely,1
202,1
Eq,1
revolution,1
erroneous,1
failed,1
was,1
],1
acceptable,1
202,1
not,1
exponentially,1
exponentially,1
introduced,1
2004,1
.,1
202,1
202,1
202,1
not,1
],1
Our,1
),1
gaps,1
.,1
not,1
95,1
perfect,1
states,1
202,1
does,1
),1
outperform,1
395,1
introduced,1
2012,1
suffered,1
ize,1
capabilities,1
202,1
),1
not,1
impractical,1
reducing,1
202,1
202,1
),1
does,1
growing,1
],1
inadequate,1
.,1
such,1
.,1
1993,1
.,1
continues,1
(,1
2,1
202,1
pill,1
learning,1
202,1
competitive,1
.,1
.,1
over,1
2003,1
learning,1
),1
fairly,1
",",0
),1
.,1
(,1
.,1
.,1
16,1
initiated,1
straightforward,1
),1
1990,1
8,1
consistent,1
demonstrating,1
.,1
learning,1
strugg,1
2003,1
without,1
impractical,1
in,1
93,1
effectively,1
loc,1
202,1
Additionally,1
],1
prohib,1
202,1
compromised,1
et,1
latency,1
obs,1
cannot,1
2004,1
