sentence,is_citation,Multi_Citation_Flag,is_narrative,ground_truth,BART_pred,T5_pred,SciBERT_pred,RoBERTa_pred,DeepSeek_pred,LLaMA3_pred,BART_is_correct,T5_is_correct,SciBERT_is_correct,RoBERTa_is_correct,DeepSeek_is_correct,LLaMA3_is_correct,Citation_Relative_Position,Sentence_Length,Negation_Count,Semantic_Depth,BART_shap_pos,BART_shap_keyword_token,BART_shap_pos_abs_dist,T5_shap_pos,T5_shap_keyword_token,T5_shap_pos_abs_dist,SCIBERT_shap_pos,SCIBERT_shap_keyword_token,SCIBERT_shap_pos_abs_dist,ROBERTA_shap_pos,ROBERTA_shap_keyword_token,ROBERTA_shap_pos_abs_dist,DEEPSEEK_shap_pos,DEEPSEEK_shap_keyword_token,DEEPSEEK_shap_pos_abs_dist,LLAMA3_shap_pos,LLAMA3_shap_keyword_token,LLAMA3_shap_pos_abs_dist
_44 Thanks!! It was a bit out of my comfort zone but it was fun,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,15,0,1,0.1666666666666666,Thanks,1.1666666666666663,0.3684210526315789,a,1.368421052631579,0.2631578947368421,! ,1.263157894736842,0.7777777777777778,but ,1.7777777777777777,0.3888888888888889, was,1.3888888888888888,1.0, fun,2.0
"The successful integration of physics-informed control by (Adams & Brown, 2025) improved the stability and efficiency of industrial plant operations.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.3841,20,0,0,0.5555555555555556,2025,0.1714555555555555,0.96875,.,0.58465,0.5357142857142857,202,0.1516142857142857,0.5555555555555556,2025,0.1714555555555555,0.0666666666666666, successful,0.3174333333333333,0.5862068965517241,202,0.2021068965517241
"TBI management faces multiple challenges in special populations, such as pediatric patients, elderly people, and soldiers.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,16,0,1,0.6818181818181818,", ",1.6818181818181817,0.4285714285714285,", ",1.4285714285714286,0.2272727272727272,challenges ,1.2272727272727273,0.2727272727272727,challenges ,1.2727272727272727,0.6666666666666666, patients,1.6666666666666663,0.9047619047619048, and,1.9047619047619049
This score indicates how important the phrase is in the local context.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1,0.9285714285714286,.,1.9285714285714288,0.9230769230769232,.,1.9230769230769231,0.2857142857142857,how ,1.2857142857142856,0.3571428571428571,important ,1.3571428571428572,0.2307692307692307, indicates,1.2307692307692308,1.0,.,2.0
"With the growing demand for intelligent systems, deep learning remains at the forefront of technological innovation [3109]. Despite challenges, deep learning holds immense potential for solving real-world problems. The applications of deep learning are growing exponentially, demonstrating its versatility.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3791,39,0,1,0.06,growing ,0.3191,0.6730769230769231,problems,0.2939769230769231,0.2037037037037037,remains ,0.1753962962962963,0.98,.,0.6009,0.3529411764705882, [,0.0261588235294117,0.2083333333333333, learning,0.1707666666666666
"It`s Friday and sun is shining and its quite warm already, Just walked the dog, He is so freaky hyper",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,20,0,1,0.5384615384615384,", ",1.5384615384615383,0.2692307692307692,shining ,1.2692307692307692,0.7666666666666667,He ,1.7666666666666666,0.1538461538461538,Friday ,1.1538461538461535,0.68, the,1.6800000000000002,0.5416666666666666,",",1.5416666666666663
"Advances in biotechnology are opening new avenues in personalized medicine, where treatments are tailored to individual genetic profiles.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,18,0,1,0.7391304347826086,tailored ,1.7391304347826086,0.7391304347826086,tailored ,1.7391304347826086,0.1363636363636363,biotechnology ,1.1363636363636362,0.4782608695652174,personalized ,1.4782608695652173,0.1363636363636363, in,1.1363636363636362,1.0,.,2.0
"2 Extracting paraphrases Much previous work on extracting paraphrases (Barzilay and McKeown, 2001; Barzilay and Lee, 2003; Pang et al. , 2003) has focused on finding identifying contexts within aligned monolingual sentences from which divergent text can be extracted, and treated as paraphrases.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2333,43,0,1,0.9861111111111112,.,0.7528111111111111,0.0533333333333333,phrase,0.1799666666666666,0.1044776119402985,previous ,0.1288223880597015,0.5833333333333334,2003,0.3500333333333333,0.2763157894736842,",",0.0430157894736842,0.9315068493150684, and,0.6982068493150684
"Finally, the parameters  i of the log-linear model (18) are learned by minimumerror-rate training (Och 2003), which tries to set the parameters so as to maximize the BLEU score (Papineni et al. 2002) of a development set.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4434,37,0,1,0.4067796610169492,(,0.0366203389830508,0.2903225806451613,minimum,0.1530774193548387,0.5,which ,0.0565999999999999,0.4576271186440678,2003,0.0142271186440677,0.3692307692307692, training,0.0741692307692307,0.0169491525423728,Finally,0.4264508474576271
"TER-based: TER-based word alignment method (Sim et al., 2007; Rosti et al., 2007a; Rosti et al., 2007b) is an extension of multiple string matching algorithm based on Levenshtein edit distance (Bangalore et al., 2001).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1982,34,0,1,0.9827586206896552,).,0.7845586206896553,0.9615384615384616,", ",0.7633384615384615,0.578125,is ,0.379925,0.9655172413793104,2001,0.7673172413793103,0.0547945205479452,:,0.1434054794520547,0.8571428571428571, (,0.658942857142857
