sentence,is_citation,Multi_Citation_Flag,is_narrative,ground_truth,BART_pred,T5_pred,SciBERT_pred,RoBERTa_pred,DeepSeek_pred,LLaMA3_pred,BART_is_correct,T5_is_correct,SciBERT_is_correct,RoBERTa_is_correct,DeepSeek_is_correct,LLaMA3_is_correct,Citation_Relative_Position,Sentence_Length,Negation_Count,Semantic_Depth,BART_shap_pos,BART_shap_keyword_token,BART_shap_pos_abs_dist,T5_shap_pos,T5_shap_keyword_token,T5_shap_pos_abs_dist,SCIBERT_shap_pos,SCIBERT_shap_keyword_token,SCIBERT_shap_pos_abs_dist,ROBERTA_shap_pos,ROBERTA_shap_keyword_token,ROBERTA_shap_pos_abs_dist,DEEPSEEK_shap_pos,DEEPSEEK_shap_keyword_token,DEEPSEEK_shap_pos_abs_dist,LLAMA3_shap_pos,LLAMA3_shap_keyword_token,LLAMA3_shap_pos_abs_dist,BART_is_error,T5_is_error,SciBERT_is_error,RoBERTa_is_error,DeepSeek_is_error,LLaMA3_is_error,Negation_Norm,BART_HI_Score,T5_HI_Score,SciBERT_HI_Score,RoBERTa_HI_Score,DeepSeek_HI_Score,LLaMA3_HI_Score,Global_Gap,HPI_global
"The successful integration of physics-informed control by (Adams & Brown, 2025) improved the stability and efficiency of industrial plant operations.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.3841,20,0,0,0.5555555555555556,2025,0.1714555555555555,0.96875,.,0.58465,0.5357142857142857,202,0.1516142857142857,0.5555555555555556,2025,0.1714555555555555,0.0666666666666666, successful,0.3174333333333333,0.5862068965517241,202,0.2021068965517241,0,0,0,0,0,0,0.0,0.2777648557636341,-1.3274172866575589,0.1424450572074561,0.7342547756460589,0.3056443659869976,0.1951096030800204,0.1867812260536397,0.3718533046368709
"By doing so we must emphasize that, as described in the previous section, the BLEU score was not designed to deliver satisfactory results at the sentence level (Papineni et al., 2002), and this also applies to the closely related NIST score.",1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0.6626,41,1,1,0.4814814814814814,satisfactory ,0.1811185185185185,0.4464285714285714,satisfactory ,0.2161714285714285,0.4716981132075472,satisfactory ,0.1909018867924528,0.4074074074074074,not ,0.2551925925925926,0.3818181818181818, not,0.2807818181818181,0.4629629629629629, satisfactory,0.199637037037037,1,1,0,1,0,0,0.5,3.4325554927369484,0.9968160308533476,1.7978841321832133,3.9023450015320895,2.180582644249617,0.7354695859996757,0.2079042328042327,2.333258343050689
This comprehensive study's design was directly informed by the exceptional control measures applied in the seminal work by Lee (2020).,1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.9051,20,0,0,0.4583333333333333,exceptional ,0.4467666666666667,0.7307692307692307,al ,0.1743307692307693,0.8148148148148148,(,0.0902851851851852,0.7083333333333334,seminal ,0.1967666666666666,0.6666666666666666, seminal,0.2384333333333333,0.4583333333333333, exceptional,0.4467666666666667,0,0,0,0,0,0,0.0,0.7237798642602534,-0.3958089056242758,0.0848249774623822,0.8426490714740494,0.2295782998955154,0.4312988249780413,0.2175999999999999,0.4332088443714673
"Hobbs et al. 1988; Charniak & Goldman, 1988).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6383,8,0,1,0.1764705882352941,bs ,0.4618294117647059,0.4,; ,0.2382999999999999,0.1666666666666666,et ,0.4716333333333333,0.9411764705882352,).,0.3028764705882353,0.3333333333333333,1,0.3049666666666666,0.2857142857142857,.,0.3525857142857143,0,0,0,0,0,0,0.0,3.3384141499797777,0.4762253170454492,2.0064407000207014,3.629632536010957,1.918080230795516,0.9753170023018805,0.3287761904761904,2.2296054697987007
"3 Evaluation We trained our model parameters on a subset of the provided dev2006 development set, optimizing for case-insensitive IBM-style BLEU (Papineni et al., 2002) with several iterations of minimum error rate training on n-best lists.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6033,36,0,1,0.0727272727272727,trained ,0.5305727272727272,0.3125,", ",0.2907999999999999,0.7407407407407407,with ,0.1374407407407407,0.9454545454545454,best ,0.3421545454545455,0.396551724137931, for,0.2067482758620689,0.3962264150943396, for,0.2070735849056603,0,0,0,0,0,0,0.0,3.449781069849648,0.3570268093065938,1.6924591860367957,3.797840057518925,1.8235095142595463,0.8348427567859436,0.2489367924528301,2.0706572466690423
"4This was a straightforward task; two annotators annotated independently, with very high agreementkappa score of over 0.95 (Carletta, 1996).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8732,19,0,1,0.9705882352941176,).,0.0973882352941176,0.6944444444444444,of ,0.1787555555555555,0.1428571428571428,straightforward ,0.7303428571428572,0.4705882352941176,very ,0.4026117647058823,0.2432432432432432, annot,0.6299567567567568,0.1428571428571428, straightforward,0.7303428571428572,0,0,0,0,0,0,0.0,2.7480048716762724,0.6114178679391056,2.249504160337416,4.056746815096641,2.231000707654624,1.339995533618782,0.5162842607313195,2.602905811827875
"We also record for each token its derivational root, using the CELEX(Baayen et al. , 1993) database.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6832,17,0,1,0.7931034482758621,. ,0.109903448275862,0.3714285714285714,using ,0.3117714285714286,0.9285714285714286,database,0.2453714285714285,0.8620689655172413,1993,0.1788689655172413,0.935483870967742,),0.2522838709677418,0.9655172413793104, database,0.2823172413793103,0,0,0,0,0,0,0.0,2.768280017135756,0.3094122761472357,1.7938625131048975,3.0985730289608813,1.8673539900421168,0.9074813465586884,0.2488276497695851,2.0704399600161008
"Giving the increasing sophistication of probabilistic linguistic models (for example, Collins (1997) has a statistical approach to learning gap-threading rules) a probabilistic extension of our work is attractive--it will be interesting to see how far an integration of 'logical' and statistical can go.",1,0,1,1,1,1,2,2,1,1,1,1,0,0,1,1,0.2843,43,0,1,0.2741935483870967,1997,0.0101064516129033,0.0806451612903225,probabil,0.2036548387096774,0.6271186440677966,attractive,0.3428186440677966,0.2741935483870967,1997,0.0101064516129032,0.6949152542372882,it,0.4106152542372882,0.6551724137931034, attractive,0.3708724137931034,0,0,1,1,0,0,0.0,2.606604892092936,0.5548853461155141,1.885416380345652,2.3758511469968786,2.019805198448916,0.992970584358726,0.273236741388737,2.1190347870955586
"First, hierarchical word clusters are derived from unlabeled data using the Brown et al. clustering algorithm (Brown et al., 1992).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8346,20,0,1,0.9655172413793104,).,0.1309172413793103,0.675,algorithm ,0.1595999999999999,0.0357142857142857,First,0.7988857142857143,0.9310344827586208,1992,0.0964344827586206,0.7586206896551724, al,0.0759793103448276,0.6428571428571429, clustering,0.1917428571428571,0,0,0,0,0,0,0.0,2.8023232022137385,0.6549095562654097,2.313901727894316,2.745549107121162,1.6975970994019614,0.820042805573181,0.1452586206896551,1.864249613506949
"Secondly, we explore the possibility of designing complementary similarity metrics that exploit linguistic information at levels further than lexical. Inspired in the work by Liu and Gildea (2005), who introduced a series of metrics based on constituent/dependency syntactic matching, we have designed three subgroups of syntactic similarity metrics.",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5212,48,0,1,0.5625,who ,0.0413,0.4736842105263157,a ,0.0475157894736842,0.55,2005,0.0288,0.53125,2005,0.01005,0.639344262295082, introduced,0.118144262295082,0.3870967741935484, in,0.1341032258064516,0,0,0,0,0,0,0.0,2.657139687774668,0.9093909017096868,1.590388748168967,2.375609394163424,1.73819611233604,0.7643987588652219,0.0444078947368421,1.6634709993339634
