shap_token,Semantic_Depth
unimaginable,1
).,1
[,1
very,1
)',1
1996,1
growing,1
technology,1
promising,1
[,1
implementations,1
technology,1
2021,1
2021,1
2002,1
2000,1
2003,1
[,1
algorithms,1
one,1
1995,1
",",1
],1
1996,1
2025,1
[,1
(,1
)',1
)',1
The,1
),1
2022,1
tested,1
parse,1
1996,1
1997,1
2003,1
)',1
suitable,1
1992,1
Ms,1
unlock,1
another,1
2003,1
learning,1
The,1
1990,1
23,1
[,1
(,1
1997,1
increases,1
a,1
2019,1
demonstrates,1
(,1
2002,1
expensive,1
study,1
interesting,1
2003,1
corpus,1
similar,1
20,1
concerns,1
paste,1
[,1
[,1
2024,1
2024,1
".,",1
parser,1
23,1
best,1
practical,1
1990,1
provide,1
[,1
2022,1
The,1
provided,1
Stanford,1
[,1
1996,1
significantly,1
popular,1
],1
word,1
2003,1
[,1
1993,1
Furthermore,1
2025,1
optimize,1
[,1
[,1
effectively,1
)',1
[,1
1995,1
Additionally,1
[,1
highlights,1
promotes,1
introduced,1
)',1
1992,1
[,1
2003,1
seminal,1
)',1
see,1
wide,1
2019,1
(,1
ations,1
1997,1
used,1
While,1
[,1
instance,1
2019,1
)',1
2025,1
2025,1
"),",1
[,1
2024,1
2003,1
2024,1
classification,1
noisy,1
1996,1
)',1
versatile,1
capabilities,1
2022,1
[,1
However,1
I,1
)',1
researchers,1
)',1
[,1
",",1
satisfying,1
],1
does,1
),1
23,1
good,1
that,1
2022,1
demonstrates,1
2025,1
2008,1
[,1
extension,1
1997,1
)',1
novel,1
demonstrates,1
[,1
most,1
.,1
1990,1
The,1
The,1
the,1
reduced,1
convenient,1
1993,1
23,1
uniquely,1
quality,1
1997,1
The,1
improving,1
Furthermore,1
noted,1
)',1
2002,1
developed,1
demonstrates,1
The,1
1993,1
Each,1
und,1
)',1
effectively,1
[,1
2025,1
)',1
2006,1
against,1
],1
The,1
2007,1
[,1
)',1
growing,1
2025,1
)',1
Compared,1
Furthermore,1
[,1
need,1
26,1
averaged,1
[,1
2006,1
thoroughly,1
2019,1
Furthermore,1
1996,1
deep,1
(,1
industries,1
-,1
2003,1
improves,1
[,1
23,1
2004,1
)',1
)',1
The,1
atively,1
)',1
emerging,1
2003,1
The,1
1993,1
58,1
].,1
[,1
ensitive,1
guaranteed,1
2024,1
2025,1
1992,1
effectively,1
[,1
1995,1
The,1
2024,1
2025,1
useful,1
we,1
Furthermore,1
2002,1
or,1
),1
)',1
effectiveness,1
substantial,1
demonstrates,1
The,1
can,1
[,1
Furthermore,1
2024,1
[,1
[,1
.,1
parser,1
[,1
and,1
)',1
infinite,1
[,1
The,1
2003,1
[,1
same,1
2003,1
),1
[,1
and,1
2006,1
expensive,1
unimaginable,1
2021,1
If,1
[,1
1990,1
system,1
2024,1
2024,1
2016,1
[,1
)',1
The,1
[,1
2019,1
2022,1
[,1
surpassed,1
fails,0
expensive,1
[,1
feature,1
deep,1
need,1
as,1
The,1
],1
learning,1
),1
(,1
2006,1
2021,1
2003,1
[,1
[,1
manipulation,1
2020,1
[,1
demonstrates,1
Here,1
23,1
[,1
20,1
),1
suitable,1
implementations,1
best,1
[,0
One,1
useful,1
purposes,1
2025,1
[,1
known,1
substantial,1
1996,1
emphasized,1
1997,1
[,1
[,1
2005,1
guaranteed,1
Taylor,1
[,1
actively,1
manipulation,1
known,1
emerging,1
),1
1993,1
2004,1
2019,1
)',1
The,1
which,1
1993,1
2019,1
],1
challenges,1
2005,1
.,1
concern,1
new,1
learning,1
coefficient,1
well,1
acceptable,1
advancements,1
1997,1
2003,1
2024,1
)',1
used,1
learning,1
1996,1
making,1
),1
new,1
)',1
2004,1
2019,1
Furthermore,1
1990,1
2024,1
2025,1
remarkable,1
Furthermore,1
is,1
23,1
2003,1
algorithms,1
2024,1
the,1
polymer,1
acceptable,1
2025,1
2003,1
].,1
unimaginable,1
(,1
highly,1
2008,1
developed,1
2025,1
2022,1
applicable,1
[,1
2002,1
revolution,1
to,1
we,1
[,1
[,1
assumed,1
The,1
2022,1
)',1
2021,1
manipulation,1
)',1
2012,1
)',1
enhancing,1
learning,1
)',1
2022,1
[,1
[,1
[,1
sophisticated,1
high,1
2014,1
The,1
.,1
[,1
20,1
The,1
1993,1
deep,1
1993,1
manipulation,1
].,1
exemplary,1
1996,1
)',1
Additionally,1
.,1
developed,1
competitive,1
Additionally,1
deep,1
2020,1
2003,1
[,1
2003,1
fairly,1
The,0
falls,1
demonstrated,1
2024,1
does,1
.,1
2002,1
[,1
new,1
1996,1
2024,1
1990,1
with,1
which,1
.,1
2003,1
will,1
capabilities,1
quality,1
[,1
[,1
compare,1
The,1
Despite,1
2006,1
)',1
Additionally,1
[,1
2025,1
solves,1
2019,1
1993,1
)',1
"),",1
cannot,1
traces,1
