shap_token,Semantic_Depth
not,1
[,1
1,1
demonstrated,1
annot,1
it,1
suffered,1
the,1
[,1
[,1
promising,1
unnecessary,1
[,1
[,1
discussed,1
provided,1
Table,1
2,1
since,1
[,1
[,1
Brown,1
strong,1
1,1
[,1
nap,1
(,1
[,1
but,1
)',1
needs,1
not,1
sentences,1
states,1
Most,1
in,1
),1
(,1
excessive,1
has,1
),1
In,1
Deep,1
not,1
[,1
the,1
learning,1
overlooks,1
/,1
(,1
[,1
Our,1
achieve,1
figure,1
",",1
not,1
exceptional,1
inkel,1
the,1
learning,1
(,1
(,1
",",1
in,1
not,1
[,1
Close,1
not,1
[,1
overly,1
(,1
),1
to,1
over,1
n,1
[,1
provide,1
[,1
work,1
overlooks,1
provided,1
using,1
facilitates,1
[,1
9,1
3,1
(,1
achieving,1
only,1
similarly,1
[,1
[,1
significant,1
In,1
achieved,1
Berg,1
[,1
[,1
[,1
)',1
unnecessary,1
al,1
concerns,1
[,1
),1
[,1
innovative,1
reduced,1
we,1
[,1
.,1
seminal,1
suffered,1
while,1
(,1
was,1
utilize,1
(,1
(,1
),1
While,1
[,1
IT,1
suffers,1
)',1
),1
excessive,1
1,1
compelling,1
Chen,1
"),",1
(,1
(,1
as,1
(,1
errone,1
overhead,1
[,1
learning,1
reliance,1
[,1
However,1
and,1
achieves,1
[,1
ineffective,1
exceptional,1
4,1
(,1
[,1
not,1
ignores,1
However,1
ignore,1
[,1
(,1
success,1
[,1
recent,1
3,1
reduced,1
The,1
exceptional,1
While,1
",",1
[,1
IC,1
demonstrated,1
demonstrated,1
at,1
reduced,1
that,1
"),",1
deb,1
(,1
(,1
9,1
features,1
overlooks,1
(,1
.,1
As,1
)',1
",",1
developed,1
three,1
overlooks,1
such,1
"),",1
Schmidt,1
)',1
[,1
inefficient,1
introduced,1
Miller,1
excessive,1
(,1
exceptional,1
states,1
extraction,1
inadequate,1
suffered,1
[,1
(,1
suffered,1
[,1
not,1
[,1
presented,1
Our,1
[,1
Section,1
(,1
[,1
not,1
[,1
.,1
excessive,1
",",1
[,1
using,1
tags,1
[,1
by,1
)',1
unfair,1
not,1
some,1
proposed,1
unrealistic,1
[,1
et,1
7,1
al,1
[,1
Deep,1
not,1
insensitive,1
guaranteed,1
suffered,1
excessive,1
To,1
[,1
[,1
),1
not,1
)',1
provided,1
bin,1
Deep,1
(,1
outperform,1
is,1
4,1
)',1
approximations,1
exceptional,1
[,1
overlooks,1
it,1
not,1
learning,1
)',1
[,1
[,1
2,1
ron,1
[,1
)',1
enhances,1
Li,1
[,1
not,1
.,1
not,1
et,1
),1
",",1
not,1
using,1
"),",1
mapping,1
learning,1
[,1
not,1
(,1
[,1
1,1
Pap,1
)',1
unstable,1
The,1
inconsistencies,1
maintains,1
demonstrated,1
impractical,1
not,1
mistakes,1
[,1
than,1
fails,0
learning,1
[,1
for,1
[,1
[,1
not,1
[,1
learning,1
1,1
allows,1
semi,1
highlighted,1
pairs,1
not,1
not,1
[,1
Adams,1
",",1
exceptional,1
Statistical,1
not,1
not,1
(,1
(,1
One,1
Deep,1
)',1
Brown,1
fail,0
useful,1
(,1
)',1
[,1
substantial,1
1,1
paper,1
(,1
[,1
[,1
),1
)',1
elegantly,1
[,1
by,1
learning,1
set,1
1,1
AI,1
cores,1
al,1
FG,1
does,1
)',1
overlooks,1
ss,1
(,1
not,1
not,1
[,1
F,1
[,1
[,1
3,1
learning,1
learning,1
Collins,1
provided,1
enabled,1
Pap,1
learning,1
",",1
al,1
[,1
",",1
3,1
)',1
Ro,1
but,1
[,1
"),",1
not,1
[,1
instability,1
remarkable,1
[,1
(,1
high,1
(,1
learning,1
)',1
data,1
proposed,1
[,1
agreement,1
)',1
translation,1
learning,1
learning,1
Brown,1
are,1
of,1
innovative,1
)',1
provide,1
this,1
presents,1
et,1
",",1
we,1
[,1
inefficient,1
bank,1
states,1
King,1
not,1
proposed,1
[,1
White,1
While,1
suffered,1
learning,1
learning,1
innovative,1
expertly,1
[,1
[,1
suffers,1
[,1
(,1
)',1
The,1
not,1
[,1
overlooks,1
inadequate,1
not,1
banks,1
Despite,1
1,1
learning,1
Deep,1
exemplary,1
5,1
)',1
[,1
Deep,1
developed,1
Deep,1
[,1
overs,1
no,1
[,1
",",1
et,1
failed,0
(,1
exemplified,1
seminal,1
no,1
not,1
[,1
an,1
[,1
initiated,1
phases,1
achieved,1
(,1
8,1
limit,1
[,1
The,1
learning,1
learning,1
After,1
[,1
[,1
[,1
learning,1
.,1
)',1
[,1
unnecessary,1
(,1
solves,1
compromised,1
Marc,1
(,1
obsolete,1
".,",1
