sentence,is_citation,Multi_Citation_Flag,is_narrative,ground_truth,BART_pred,T5_pred,SciBERT_pred,RoBERTa_pred,DeepSeek_pred,LLaMA3_pred,BART_is_correct,T5_is_correct,SciBERT_is_correct,RoBERTa_is_correct,DeepSeek_is_correct,LLaMA3_is_correct,Citation_Relative_Position,Sentence_Length,Negation_Count,Semantic_Depth,BART_shap_pos,BART_shap_keyword_token,BART_shap_pos_abs_dist,T5_shap_pos,T5_shap_keyword_token,T5_shap_pos_abs_dist,SCIBERT_shap_pos,SCIBERT_shap_keyword_token,SCIBERT_shap_pos_abs_dist,ROBERTA_shap_pos,ROBERTA_shap_keyword_token,ROBERTA_shap_pos_abs_dist,DEEPSEEK_shap_pos,DEEPSEEK_shap_keyword_token,DEEPSEEK_shap_pos_abs_dist,LLAMA3_shap_pos,LLAMA3_shap_keyword_token,LLAMA3_shap_pos_abs_dist,BART_is_error,T5_is_error,SciBERT_is_error,RoBERTa_is_error,DeepSeek_is_error,LLaMA3_is_error,Negation_Norm,BART_HI_Score,T5_HI_Score,SciBERT_HI_Score,RoBERTa_HI_Score,DeepSeek_HI_Score,LLaMA3_HI_Score
"The term ""pervaporation"" was initially proposed by Kober in 1917 but did not gain significant attention until the 1950s when an American company published a paper on the separation of alcohol-water mixtures using pervaporation membranes [30].",1,0,0,2,2,0,0,1,0,2,1,0,0,0,0,1,0.9793,36,1,0,0.9803921568627452,].,0.0010921568627452,0.1568627450980392,initially ,0.8224372549019607,0.3725490196078431,not ,0.6067509803921568,0.3333333333333333,but ,0.6459666666666666,0.3928571428571428, not,0.586442857142857,0.0196078431372549,The,0.959692156862745,0,1,1,1,1,0,0.5,0.5506735520147292,-1.396951880207964,0.6252532837837494,3.243256192713224,0.8504523807144455,0.8342718503728179
"We employ a robust statistical parser (Collins, 1997) to determine the constituent structure for each sentence, from which subjects (s), objects (o), and relations other than subject or object (x) are identified.",1,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0.1822,32,0,0,0.0909090909090909,robust ,0.0912909090909091,0.1020408163265306,statistical ,0.0801591836734693,0.0869565217391304,robust ,0.0952434782608695,0.1363636363636363,parser ,0.0458363636363636,0.1489361702127659, (,0.033263829787234,0.5217391304347826, from,0.3395391304347825,1,1,1,1,1,1,0.0,0.1478949230545698,-0.1819972395322355,0.0894834061684223,0.1962932538942674,0.0320284642411589,0.3277836931819464
"In Ramun's study [85] , it was found that when errors are present in machine-translated texts, their comprehension requires more mental effort than when there are no errors. Lexical errors, in particular, pose the greatest challenge to mental processing. The study aims to provide a basis for understanding how readers' minds work when consuming machine-translated material.",1,0,0,2,2,1,2,2,2,2,1,0,1,1,1,1,0.0455,56,1,1,0.08,[,0.0345,0.9240506329113924,machine,0.8785506329113925,0.1216216216216216,] ,0.0761216216216216,0.1066666666666666,] ,0.0611666666666666,0.0945945945945946, [,0.0490945945945946,0.0555555555555555,'s,0.0100555555555555,0,1,0,0,0,0,0.5,3.195027630098645,-0.5070813541861592,1.6900454719836258,3.071433094078044,1.9574999143516711,0.5524517462610516
The novel idea presented in Strube & Ponzetto (2006) was to induce a semantic network from the Wikipedia categorization graph to compute measures of semantic relatedness.,1,0,1,2,2,1,2,2,1,1,1,0,1,1,0,0,0.2197,26,0,0,0.0555555555555555,novel ,0.1641444444444445,0.6578947368421053,cate,0.4381947368421053,0.0588235294117647,novel ,0.1608764705882353,0.0277777777777777,The ,0.1919222222222222,0.3243243243243243, (,0.1046243243243243,0.0285714285714285,The,0.1911285714285714,0,1,0,0,1,1,0.0,0.2659205634240276,-0.994898261535227,0.1511470897898083,0.8219028410170681,0.1007387439092495,0.1845113667317939
"On the machine-learning side, it would be interesting to generalize the ideas of large-margin classi cation to sequence models, strengthening the results of Collins (2002) and leading to new optimal training algorithms with stronger guarantees against over tting.",1,0,1,1,1,2,1,2,2,1,1,0,1,0,0,1,0.594,38,0,1,0.0192307692307692,On ,0.5747692307692308,0.0377358490566037,machine,0.5562641509433962,0.6326530612244898,(,0.0386530612244898,0.6730769230769231,2002,0.0790769230769231,0.0188679245283018,On,0.5751320754716981,0.7959183673469388, optimal,0.2019183673469388,0,1,0,1,1,0,0.0,3.521381172740367,-0.2456956792765512,1.599645922472686,2.671215726388461,2.178212127527108,0.829866021855892
Wikipedia first sentence (WikiFS): Kazama and Torisawa (2007) used Wikipedia as an external knowledge to improve Named Entity Recognition.,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0.3333,19,0,0,0.5333333333333333,) ,0.2000333333333333,0.25,: ,0.0832999999999999,0.5483870967741935,2007,0.2150870967741935,0.8,improve ,0.4667,0.2903225806451613,ama,0.0429774193548386,0.6333333333333333, used,0.3000333333333333,1,1,1,1,1,1,0.0,0.3240619984649541,-0.1891282989456504,0.2020792015755201,1.9986328391848505,0.0413813065960316,0.2896456557209095
"WordNet (Miller et al., 1990) is the largest lexical database to date.",1,0,0,1,2,2,2,2,1,1,0,0,0,0,1,1,0.125,12,0,1,0.631578947368421,largest ,0.506578947368421,0.6521739130434783,largest ,0.5271739130434783,0.6842105263157895,largest ,0.5592105263157895,0.8947368421052632,date,0.7697368421052632,0.1904761904761904,Miller,0.0654761904761904,0.5789473684210527,),0.4539473684210526,1,1,1,1,0,0,0.0,3.4109101869975342,-0.1796478136110557,2.088721457441959,5.628952162811839,1.6874840486412712,1.0731693390766368
"Section 4 describes the online training procedure and compares it to the well known perceptron training algorithm (Collins, 2002).",1,0,0,1,2,2,1,2,1,1,0,0,1,0,1,1,0.8712,19,0,1,0.5416666666666666,well ,0.3295333333333333,0.0689655172413793,describes ,0.8022344827586206,0.88,2002,0.0088,0.5833333333333334,known ,0.2878666666666666,0.0357142857142857,Section,0.8354857142857143,0.7037037037037037, algorithm,0.1674962962962962,1,1,0,1,0,0,0.0,3.1240892129748774,-0.8041584697604727,1.5715982949426937,3.565353369464197,2.428896647744637,0.7966357029777613
"To solve this problem, we adopt an idea one sense per collocation which was introduced in word sense disambiguation research (Yarowsky, 1995).",1,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0.875,22,0,1,0.7878787878787878,(,0.0871212121212121,0.1875,adopt ,0.6875,0.0625,solve ,0.8125,0.9393939393939394,1995,0.0643939393939394,0.1944444444444444, adopt,0.6805555555555556,0.7428571428571429, (,0.1321428571428571,1,1,1,1,1,1,0.0,2.7313718836024625,-0.5436598196458629,2.326692657840486,2.608336160573106,2.27972034782651,0.7625062615859588
"Unlike MaxEnt training, the method (Och, 2003) used for estimating the weight vector for BLEU maximization are not computationally scalable for a large number of feature functions.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1978,27,1,1,0.6923076923076923,not ,0.4945076923076923,0.8809523809523809,number ,0.683152380952381,0.3142857142857143,2003,0.1164857142857142,0.6923076923076923,not ,0.4945076923076923,0.7435897435897436, not,0.5457897435897436,0.717948717948718, not,0.520148717948718,1,1,1,1,1,1,0.5,3.940258485348516,-0.0634398294567296,1.7279684517449054,4.927206833979904,2.435748598285641,1.0448845931673507
