sentence,is_citation,Multi_Citation_Flag,is_narrative,ground_truth,BART_pred,T5_pred,SciBERT_pred,RoBERTa_pred,DeepSeek_pred,LLaMA3_pred,BART_is_correct,T5_is_correct,SciBERT_is_correct,RoBERTa_is_correct,DeepSeek_is_correct,LLaMA3_is_correct,Citation_Relative_Position,Sentence_Length,Negation_Count,Semantic_Depth,BART_shap_pos,BART_shap_keyword_token,BART_shap_pos_abs_dist,T5_shap_pos,T5_shap_keyword_token,T5_shap_pos_abs_dist,SCIBERT_shap_pos,SCIBERT_shap_keyword_token,SCIBERT_shap_pos_abs_dist,ROBERTA_shap_pos,ROBERTA_shap_keyword_token,ROBERTA_shap_pos_abs_dist,DEEPSEEK_shap_pos,DEEPSEEK_shap_keyword_token,DEEPSEEK_shap_pos_abs_dist,LLAMA3_shap_pos,LLAMA3_shap_keyword_token,LLAMA3_shap_pos_abs_dist,BART_is_error,T5_is_error,SciBERT_is_error,RoBERTa_is_error,DeepSeek_is_error,LLaMA3_is_error,Negation_Norm,BART_HI_Score,T5_HI_Score,SciBERT_HI_Score,RoBERTa_HI_Score,DeepSeek_HI_Score,LLaMA3_HI_Score
"The successful integration of physics-informed control by (Adams & Brown, 2025) improved the stability and efficiency of industrial plant operations.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.3841,20,0,0,0.5555555555555556,2025,0.1714555555555555,0.96875,.,0.58465,0.5357142857142857,202,0.1516142857142857,0.5555555555555556,2025,0.1714555555555555,0.0666666666666666, successful,0.3174333333333333,0.5862068965517241,202,0.2021068965517241,0,0,0,0,0,0,0.0,0.27776485576363413,-1.3274172866575589,0.1424450572074561,0.7342547756460589,0.3056443659869976,0.19510960308002048
"With the growing demand for intelligent systems, deep learning remains at the forefront of technological innovation [3109]. Despite challenges, deep learning holds immense potential for solving real-world problems. The applications of deep learning are growing exponentially, demonstrating its versatility.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3791,39,0,1,0.06,growing ,0.3191,0.6730769230769231,problems,0.2939769230769231,0.2037037037037037,remains ,0.1753962962962963,0.98,.,0.6009,0.3529411764705882, [,0.0261588235294117,0.2083333333333333, learning,0.1707666666666666,0,0,0,0,0,0,0.0,3.107186795791153,0.3498137714023961,1.7281192906039897,4.9059119719058035,1.6496268659486544,0.7997928474185219
"The paper in [4717] overstates the impact of its findings, leading to misleading conclusions about its effectiveness. The research presents incremental improvements rather than groundbreaking advancements. Several important benchmarks are missing, making it difficult to evaluate the method's effectiveness. The lack of proper statistical analysis weakens the credibility of the findings.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0335,51,1,0,0.140625,states ,0.107125,0.2463768115942029,to ,0.2128768115942029,0.1029411764705882,] ,0.0694411764705882,0.015625,The ,0.017875,0.1666666666666666,states,0.1331666666666666,0.1428571428571428,states,0.1093571428571428,0,0,0,0,0,0,0.5,0.7224509976903489,-0.01297673318091791,0.12043854685343375,0.5534669683327984,0.4140101444808108,0.013376918540461302
"Similarly, Vadhera and Sharma [ 93 ] implemented a hybrid CNN-Transformer model for PE detection in HRCT scans, achieving a sensitivity of 93.24%.",1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.2055,23,0,1,0.7777777777777778,achieving ,0.5722777777777778,0.7727272727272727,achieving ,0.5672272727272727,0.2857142857142857,] ,0.0802142857142857,0.3333333333333333,implemented ,0.1278333333333333,0.2105263157894736, [,0.0050263157894736,0.2285714285714285, [,0.0230714285714285,0,0,0,0,0,0,0.0,3.51734491927182,-0.2705868746441211,1.6386936347127936,2.8800140179231315,1.6292791858166937,0.6572110762210401
"By doing so we must emphasize that, as described in the previous section, the BLEU score was not designed to deliver satisfactory results at the sentence level (Papineni et al., 2002), and this also applies to the closely related NIST score.",1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0.6626,41,1,1,0.4814814814814814,satisfactory ,0.1811185185185185,0.4464285714285714,satisfactory ,0.2161714285714285,0.4716981132075472,satisfactory ,0.1909018867924528,0.4074074074074074,not ,0.2551925925925926,0.3818181818181818, not,0.2807818181818181,0.4629629629629629, satisfactory,0.199637037037037,1,1,0,1,0,0,0.5,3.4325554927369484,0.9968160308533476,1.7978841321832133,3.9023450015320895,2.1805826442496175,0.7354695859996757
"The generalization ability of deep learning models remains a significant challenge, especially when applied to real-world scenarios [3518]. The unpredictable behavior of some AI models adds another layer of complexity to their deployment.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5546,33,0,1,0.0238095238095238,The ,0.5307904761904761,0.0,The ,0.5546,0.5952380952380952,. ,0.0406380952380952,0.3809523809523809,applied ,0.173647619047619,0.5, [,0.0545999999999999,0.3, challenge,0.2546,0,0,0,0,0,0,0.0,3.4501338318032353,-0.24191731148407447,1.6015109069119466,3.0762127235849457,1.6770117825199362,0.8807237244475283
"Deep learning continues to revolutionize multiple domains, enhancing automation and efficiency in ways previously unimaginable [3042]. Additionally, research efforts are consistently expanding the capabilities of deep learning models.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5427,28,0,1,0.0277777777777777,Deep ,0.5149222222222223,0.9743589743589745,.,0.4316589743589744,0.0769230769230769,continues ,0.465776923076923,0.4722222222222222,unimaginable ,0.0704777777777777,0.5, [,0.0426999999999999,0.0555555555555555, learning,0.4871444444444444,0,0,0,0,0,0,0.0,3.424426625872048,0.037213865588204054,2.0009384698708543,2.634390069255841,1.6655537295264093,1.105217074393198
"The findings in [4534] are based on limited data, reducing the reliability of the reported results. Despite initial promises, the approach does not perform well under real-world conditions. Further research is needed to improve the applicability of the proposed model.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0597,40,2,0,0.0769230769230769,[,0.0172230769230768,0.3090909090909091,reliability ,0.249390909090909,0.0784313725490196,[,0.0187313725490196,0.0769230769230769,[,0.0172230769230769,0.5961538461538461, not,0.5364538461538462,0.22, limited,0.1603,0,0,0,0,0,0,1.0,1.125710501744428,0.3744688639466599,0.12799252484938234,1.027592782025378,1.0881089570739024,-0.029638044118442397
[35] fails to address key issues that limit its practical use.,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,11,2,0,0.2666666666666666,fails ,0.2666666666666666,0.0714285714285714,35,0.0714285714285714,0.2,] ,0.2,0.0666666666666666,[,0.0666666666666666,0.3333333333333333, fails,0.3333333333333333,0.2857142857142857, fails,0.2857142857142857,0,0,0,0,0,0,1.0,1.5298190912957352,0.7785230560051162,0.29829850812480274,1.239333905120989,0.8925320158999673,0.09143418015380658
"The claims in [661] are exaggerated, as the improvements demonstrated are marginal at best. The statistical methods used in the study are outdated and insufficient. A deeper theoretical analysis is missing, making the conclusions less convincing. Several key assumptions remain unverified, affecting the reliability of the findings.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0422,47,1,0,0.0689655172413793,[,0.0267655172413792,0.328125,. ,0.285925,0.0634920634920634,[,0.0212920634920634,0.0689655172413793,[,0.0267655172413793,0.0677966101694915, [,0.0255966101694915,0.0701754385964912, [,0.0279754385964912,0,0,0,0,0,0,0.5,0.5922654223943882,-0.1788288293903993,0.0752013640879578,0.5915404196204774,0.3104350681899426,-0.06518720909289577
This comprehensive study's design was directly informed by the exceptional control measures applied in the seminal work by Lee (2020).,1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.9051,20,0,0,0.4583333333333333,exceptional ,0.4467666666666667,0.7307692307692307,al ,0.1743307692307693,0.8148148148148148,(,0.0902851851851852,0.7083333333333334,seminal ,0.1967666666666666,0.6666666666666666, seminal,0.2384333333333333,0.4583333333333333, exceptional,0.4467666666666667,0,0,0,0,0,0,0.0,0.7237798642602534,-0.3958089056242758,0.08482497746238228,0.8426490714740494,0.22957829989551548,0.43129882497804134
"According to [37], the proposed methodology has revolutionized computational efficiency.",1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1477,10,0,1,0.3333333333333333,"], ",0.1856333333333333,0.2857142857142857,"], ",0.1380142857142857,0.1875,[,0.0398,0.2,[,0.0523,0.2, [,0.0523,0.2142857142857142, [,0.0665857142857142,0,0,0,0,0,0,0.0,2.8909654590383322,0.7039187930527322,1.6007234974434172,2.556544121944782,1.6747972008489185,0.6992188214235997
"Xie et al. [74], for the first time, demonstrated CO2 methanation over protonic cells with BaCe0·5Zr0·3Y0·16Zn0·04O3−δ electrolyte using water as a proton source.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0679,23,0,1,0.0491803278688524,et ,0.0187196721311476,0.03125,i,0.03665,0.1346153846153846,],0.0667153846153846,0.2295081967213114,demonstrated ,0.1616081967213115,0.2631578947368421, demonstrated,0.195257894736842,0.1071428571428571, [,0.0392428571428571,0,0,0,0,0,0,0.0,2.620558653737803,0.9340611091509767,1.6260111112275442,3.0246541531410345,1.8124458675495738,0.6728226217132586
"Hobbs et al. 1988; Charniak & Goldman, 1988).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6383,8,0,1,0.1764705882352941,bs ,0.4618294117647059,0.4,; ,0.2382999999999999,0.1666666666666666,et ,0.4716333333333333,0.9411764705882352,).,0.3028764705882353,0.3333333333333333,1,0.3049666666666666,0.2857142857142857,.,0.3525857142857143,0,0,0,0,0,0,0.0,3.3384141499797777,0.47622531704544924,2.0064407000207014,3.6296325360109574,1.9180802307955154,0.9753170023018803
"3 Evaluation We trained our model parameters on a subset of the provided dev2006 development set, optimizing for case-insensitive IBM-style BLEU (Papineni et al., 2002) with several iterations of minimum error rate training on n-best lists.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6033,36,0,1,0.0727272727272727,trained ,0.5305727272727272,0.3125,", ",0.2907999999999999,0.7407407407407407,with ,0.1374407407407407,0.9454545454545454,best ,0.3421545454545455,0.396551724137931, for,0.2067482758620689,0.3962264150943396, for,0.2070735849056603,0,0,0,0,0,0,0.0,3.4497810698496476,0.3570268093065938,1.6924591860367955,3.797840057518925,1.8235095142595463,0.8348427567859436
The model proposed in [17] has demonstrated outstanding generalization capabilities.,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.2619,10,0,1,0.6666666666666666,outstanding ,0.4047666666666666,0.0,The ,0.2619,0.3571428571428571,[,0.0952428571428571,0.3333333333333333,[,0.0714333333333333,0.7142857142857143, demonstrated,0.4523857142857143,0.7142857142857143, outstanding,0.4523857142857143,0,0,0,0,0,0,0.0,3.2459702212294017,0.42264274975712535,1.6528133181371076,2.6384822156303835,2.060024370280754,1.0716617521328327
"The assumptions underlying the research in [162] are unrealistic, making the proposed approach ill-suited for addressing practical challenges in modern computational tasks.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.25,22,0,1,0.3666666666666666,unrealistic,0.1166666666666665,0.375,unrealistic,0.125,0.2413793103448276,[,0.0086206896551724,0.2333333333333333,[,0.0166666666666666,0.4333333333333333, unrealistic,0.1833333333333333,0.3928571428571428, unrealistic,0.1428571428571428,0,0,0,0,0,0,0.0,2.779236701360613,0.7334670489847314,1.5714298288103201,2.4039451286522597,1.8009641653238622,0.7728496000304499
"4This was a straightforward task; two annotators annotated independently, with very high agreementkappa score of over 0.95 (Carletta, 1996).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8732,19,0,1,0.9705882352941176,).,0.0973882352941176,0.6944444444444444,of ,0.1787555555555555,0.1428571428571428,straightforward ,0.7303428571428572,0.4705882352941176,very ,0.4026117647058823,0.2432432432432432, annot,0.6299567567567568,0.1428571428571428, straightforward,0.7303428571428572,0,0,0,0,0,0,0.0,2.7480048716762724,0.6114178679391056,2.249504160337416,4.056746815096641,2.2310007076546237,1.339995533618782
"We also record for each token its derivational root, using the CELEX(Baayen et al. , 1993) database.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6832,17,0,1,0.7931034482758621,. ,0.109903448275862,0.3714285714285714,using ,0.3117714285714286,0.9285714285714286,database,0.2453714285714285,0.8620689655172413,1993,0.1788689655172413,0.935483870967742,),0.2522838709677418,0.9655172413793104, database,0.2823172413793103,0,0,0,0,0,0,0.0,2.7682800171357558,0.30941227614723577,1.7938625131048977,3.0985730289608813,1.8673539900421172,0.9074813465586884
"Giving the increasing sophistication of probabilistic linguistic models (for example, Collins (1997) has a statistical approach to learning gap-threading rules) a probabilistic extension of our work is attractive--it will be interesting to see how far an integration of 'logical' and statistical can go.",1,0,1,1,1,1,2,2,1,1,1,1,0,0,1,1,0.2843,43,0,1,0.2741935483870967,1997,0.0101064516129033,0.0806451612903225,probabil,0.2036548387096774,0.6271186440677966,attractive,0.3428186440677966,0.2741935483870967,1997,0.0101064516129032,0.6949152542372882,it,0.4106152542372882,0.6551724137931034, attractive,0.3708724137931034,0,0,1,1,0,0,0.0,2.606604892092936,0.5548853461155141,1.8854163803456516,2.3758511469968786,2.019805198448916,0.992970584358726
"According to [33], the conclusions drawn are based on insufficient experimental validation.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1429,12,1,0,0.75,insufficient ,0.6071,0.7647058823529411,sufficient ,0.6218058823529411,0.7647058823529411,insufficient ,0.6218058823529411,0.1875,[,0.0446,0.1875, [,0.0446,0.2666666666666666,33,0.1237666666666666,0,0,0,0,0,0,0.5,1.5324304895209542,-0.9414288285233641,0.6393977053397618,0.6679162133021902,0.328732702453356,0.027287559488474555
"The findings in [4520] are based on limited data, reducing the reliability of the reported results. Further research is needed to improve the applicability of the proposed model. Despite initial promises, the approach does not perform well under real-world conditions. The study does not address key issues such as scalability and robustness.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0468,52,3,0,0.0597014925373134,[,0.0129014925373133,0.3055555555555556,. ,0.2587555555555555,0.546875,Despite ,0.500075,0.0597014925373134,[,0.0129014925373134,0.2, limited,0.1532,0.0625, [,0.0157,0,0,0,0,0,0,1.0,1.118709362238085,0.35320692329736825,0.5802257707185008,1.0090856886662707,0.7190885470567734,-0.16923173976529335
"First, hierarchical word clusters are derived from unlabeled data using the Brown et al. clustering algorithm (Brown et al., 1992).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8346,20,0,1,0.9655172413793104,).,0.1309172413793103,0.675,algorithm ,0.1595999999999999,0.0357142857142857,First,0.7988857142857143,0.9310344827586208,1992,0.0964344827586206,0.7586206896551724, al,0.0759793103448276,0.6428571428571429, clustering,0.1917428571428571,0,0,0,0,0,0,0.0,2.8023232022137385,0.6549095562654097,2.313901727894316,2.7455491071211626,1.6975970994019614,0.820042805573181
