model,case,token,token_category
BART,C3,satisfactory,content/domain
BART,C4,Deep,content/domain
BART,C4,bs,content/domain
BART,C4,outstanding,content/domain
BART,C4,).,punctuation
BART,C4,1997,number
BART,C4,suffered,content/domain
BART,C4,Table,content/domain
BART,C4,continues,content/domain
BART,C4,AI,content/domain
BART,C4,promising,evaluative
BART,C4,unnecessary,evaluative
BART,C4,crucial,content/domain
BART,C4,dependence,content/domain
BART,C4,2021,number
BART,C4,2021,number
BART,C4,contrasts,content/domain
BART,C4,et,content/domain
BART,C4,sentence,content/domain
BART,C4,reasonable,evaluative
BART,C4,],punctuation
BART,C4,improvements,content/domain
BART,C4,4,number
BART,C4,).,punctuation
BART,C4,1996,number
BART,C4,ineffective,evaluative
BART,C4,(,punctuation
BART,C4,s,content/domain
BART,C4,inefficient,evaluative
BART,C4,but,stopword
BART,C4,minimized,content/domain
BART,C4,needs,content/domain
BART,C4,states,content/domain
BART,C4,Collins,content/domain
BART,C4,over,stopword
BART,C4,learning,content/domain
BART,C4,3,number
BART,C4,follows,content/domain
BART,C4,1997,number
BART,C4,2003,number
BART,C4,excessive,content/domain
BART,C3,but,stopword
BART,C4,.,punctuation
BART,C4,",",punctuation
BART,C4,.,punctuation
BART,C4,et,content/domain
BART,C4,The,stopword
BART,C4,.,punctuation
BART,C3,.,punctuation
BART,C4,Despite,content/domain
BART,C3,2007,number
BART,C4,overlook,content/domain
BART,C4,).,punctuation
BART,C4,rare,content/domain
BART,C4,unreliable,content/domain
BART,C4,).,punctuation
BART,C4,Collins,content/domain
BART,C4,=,punctuation
BART,C4,).,punctuation
BART,C4,2019,number
BART,C4,demonstrates,content/domain
BART,C4,2005,number
BART,C4,publicly,content/domain
BART,C4,",",punctuation
BART,C4,(,punctuation
BART,C3,.,punctuation
BART,C4,on,stopword
BART,C3,our,stopword
BART,C4,).,punctuation
BART,C4,(,punctuation
BART,C4,Despite,content/domain
BART,C4,observations,content/domain
BART,C4,[,punctuation
BART,C4,[,punctuation
BART,C4,2024,number
BART,C4,2024,number
BART,C4,features,content/domain
BART,C4,).,punctuation
BART,C4,over,stopword
BART,C4,).,punctuation
BART,C4,crucial,content/domain
BART,C4,proposed,content/domain
BART,C4,provide,content/domain
BART,C4,problems,content/domain
BART,C4,recent,content/domain
BART,C4,overlook,content/domain
BART,C4,2024,number
BART,C3,and,stopword
BART,C4,),punctuation
BART,C4,).,punctuation
BART,C3,).,punctuation
BART,C4,demonstrates,content/domain
BART,C3,solution,content/domain
BART,C4,),punctuation
BART,C4,).,punctuation
BART,C4,popular,evaluative
BART,C4,et,content/domain
BART,C4,(,punctuation
BART,C4,3,number
BART,C4,],punctuation
BART,C4,(,punctuation
BART,C4,learning,content/domain
BART,C3,state,content/domain
BART,C3,well,content/domain
BART,C4,2025,number
BART,C4,.,punctuation
BART,C4,.,punctuation
BART,C4,],punctuation
BART,C4,models,content/domain
BART,C4,2024,number
BART,C4,unnecessary,evaluative
BART,C4,al,content/domain
BART,C4,",",punctuation
BART,C4,],punctuation
BART,C4,2024,number
BART,C4,promotes,content/domain
BART,C4,widely,content/domain
BART,C4,reduced,content/domain
BART,C4,).,punctuation
BART,C4,[,punctuation
BART,C4,",",punctuation
BART,C4,2024,number
BART,C4,suffered,content/domain
BART,C4,entropy,content/domain
BART,C4,found,content/domain
BART,C4,definitive,content/domain
BART,C4,and,stopword
BART,C4,however,content/domain
BART,C4,improvements,content/domain
BART,C4,.,punctuation
BART,C3,but,stopword
BART,C4,While,stopword
BART,C4,inadequate,content/domain
BART,C4,(,punctuation
BART,C4,2019,number
BART,C4,excessive,content/domain
BART,C4,2025,number
BART,C4,2025,number
BART,C4,.,punctuation
BART,C4,compelling,content/domain
BART,C4,2024,number
BART,C4,.,punctuation
BART,C4,s,content/domain
BART,C4,Another,content/domain
BART,C4,".,",punctuation
BART,C4,.,punctuation
BART,C4,2024,number
BART,C4,overhead,content/domain
BART,C4,expands,content/domain
BART,C4,still,content/domain
BART,C4,reliance,content/domain
BART,C4,],punctuation
BART,C4,However,content/domain
BART,C3,By,stopword
BART,C4,achieves,content/domain
BART,C4,On,stopword
BART,C4,Despite,content/domain
BART,C4,)',punctuation
BART,C4,demonstrates,content/domain
BART,C4,.,punctuation
BART,C4,satisfying,evaluative
BART,C4,],punctuation
BART,C4,not,negation
BART,C4,1995,number
BART,C4,is,stopword
BART,C4,good,evaluative
BART,C4,),punctuation
BART,C4,2022,number
BART,C4,demonstrates,content/domain
BART,C4,incompatible,content/domain
BART,C4,et,content/domain
BART,C4,outdated,content/domain
BART,C4,2003,number
