shap_token,Semantic_Depth
satisfactory,1
learning,1
.,1
outstanding,1
straightforward,1
attractive,1
)',1
trained,1
.,1
seeking,1
promising,1
unnecessary,1
learning,1
researchers,1
202,1
202,1
).,1
and,1
",",1
introduces,1
",",1
.,1
strong,1
"),",1
ineffective,1
(,1
)',1
inefficient,1
ins,1
)',1
needs,1
states,1
The,1
states,1
ky,1
.,1
(,1
",",1
.,1
)',1
on,1
performance,1
learning,1
significant,1
The,1
.,1
While,1
limitations,1
l,1
errone,1
unreliable,1
is,1
To,1
F,1
simple,1
not,1
demonstrates,1
about,1
on,1
learning,1
the,1
.,1
training,1
The,1
not,1
",",1
200,1
missing,1
not,1
overly,1
discouraged,1
features,1
The,1
overst,1
(,1
learning,1
The,1
202,1
272,1
contrad,1
limitations,1
202,1
accurate,1
(,1
practical,1
demonstrates,1
word,1
bank,1
usefulness,1
achieving,1
7,1
.,1
without,1
model,1
Furthermore,1
",",1
202,1
When,1
The,1
unnecessary,1
.,1
)',1
valuable,1
",",1
The,1
without,1
),1
innovative,1
)',1
our,1
not,1
.,1
seminal,1
)',1
trap,1
wide,1
rigorous,1
(,1
which,1
",",1
2,1
(,1
While,1
inadequate,1
of,1
)',1
excessive,1
202,1
)',1
199,1
compelling,1
202,1
The,1
)',1
Another,1
source,1
We,1
errone,1
)',1
learning,1
While,1
severely,1
introduces,1
However,1
systems,1
achieves,1
optimal,1
becoming,1
ineffective,1
demonstrates,1
),1
provides,1
not,1
5,1
ignores,1
",",1
The,1
demonstrates,1
incompatible,1
success,1
outdated,1
",",1
199,1
)',1
No,1
demonstrates,1
While,1
each,1
.,1
's,1
The,1
The,1
in,1
)',1
In,1
(,1
Wu,1
deb,1
contradictory,1
Alternatively,1
),1
and,1
limitations,1
),1
applications,1
in,1
)',1
),1
developed,1
parsing,1
missing,1
starting,1
an,1
200,1
202,1
)',1
concerns,1
inefficient,1
202,1
),1
excessive,1
200,1
L,1
demonstrates,1
states,1
text,1
proposed,1
inadequate,1
suffered,1
318,1
overhead,1
suffered,1
The,1
not,1
effectively,1
presented,1
and,1
not,1
algorithm,1
We,1
and,1
not,1
rapid,1
68,1
of,1
202,1
rapid,1
model,1
The,1
improves,1
without,1
incompatible,1
",",1
)',1
unfair,1
not,1
have,1
".,",1
)',1
The,1
Second,1
inconsistencies,1
al,1
The,1
learning,1
not,1
(,1
202,1
)',1
limiting,1
concept,1
.,1
not,1
lacks,1
.,1
[,1
)',1
(W,1
It,1
).,1
learning,1
attempts,1
out,1
The,1
",",1
202,1
In,1
substantial,1
demonstrates,1
not,1
",",1
not,1
While,1
robust,1
)',1
",",1
without,1
),1
parser,1
without,1
)',1
)',1
(,1
introduces,1
not,1
.,1
not,1
same,1
.,1
ropy,1
not,1
using,1
"),",1
using,1
deep,1
",",1
not,1
and,1
without,1
199,1
5,1
)',1
unstable,1
approach,1
inconsistencies,1
)',1
The,1
impr,1
not,1
The,1
unrealistic,1
than,1
fails,0
remains,1
not,1
feature,1
.,1
.,1
",",1
not,1
demonstrates,1
learning,1
wait,1
.,1
We,1
202,1
Phrase,1
not,1
692,1
and,1
dis,1
sector,1
demonstrates,1
Statistical,1
202,1
not,1
no,1
parser,1
One,1
learning,1
)',1
In,1
fail,0
simplest,1
Also,1
.,1
)',1
not,1
substantial,1
199,1
paper,1
As,1
unnecessary,1
unnecessary,1
LOCATION,1
)',1
eleg,1
not,1
202,1
learning,1
(,1
199,1
The,1
underscores,1
(,1
(,1
not,1
)',1
limitations,1
popular,1
2,1
.,1
their,1
valuable,1
learning,1
(,1
The,1
learning,1
continuous,1
While,1
?,1
),1
holds,1
2,1
),1
)',1
)',1
ase,1
learning,1
makes,1
The,1
.,1
(,1
head,1
The,1
)',1
),1
concerns,1
Furthermore,1
wise,1
not,1
instability,1
202,1
learning,1
199,1
)',1
Instead,1
Deep,1
)',1
(,1
",",1
cannot,1
.,1
)',1
eh,1
remarkable,1
learning,1
introduced,1
The,1
a,1
202,1
)',1
"),",1
(,1
presents,1
BLE,1
202,1
(,1
To,1
not,1
inefficient,1
the,1
not,1
202,1
not,1
),1
perform,1
rapid,1
)',1
not,1
suffered,1
learning,1
While,1
innovative,1
careful,1
not,1
impr,1
As,1
meticulously,1
202,1
strong,1
[,1
learning,1
not,1
inadequate,1
not,1
",",1
rapid,1
where,1
learning,1
",",1
exemplary,1
.,1
)',1
become,1
Deep,1
202,1
achieves,1
learning,1
.,1
The,1
yields,1
impacting,1
K,1
(,1
failed,0
falls,1
those,1
seminal,1
no,1
not,1
rapid,1
is,1
not,1
initiated,1
The,1
(G,1
",",1
seeds,1
presented,1
differences,1
refined,1
is,1
increasing,1
learning,1
set,1
without,1
impr,1
compare,1
[,1
expensive,1
The,1
)',1
Additionally,1
without,1
without,1
)',1
compromised,1
(,1
)',1
obsolete,1
),1
