shap_token,Semantic_Depth
Deep,1
bs,1
outstanding,1
).,1
1997,1
suffered,1
Table,1
continues,1
AI,1
promising,1
unnecessary,1
crucial,1
dependence,1
2021,1
2021,1
contrasts,1
et,1
sentence,1
reasonable,1
],1
improvements,1
4,1
).,1
1996,1
ineffective,1
(,1
s,1
inefficient,1
but,1
minimized,1
needs,1
states,1
Collins,1
over,1
learning,1
3,1
follows,1
1997,1
2003,1
excessive,1
.,1
",",1
.,1
et,1
The,1
.,1
Despite,1
overlook,1
).,1
rare,1
unreliable,1
).,1
Collins,1
=,1
).,1
2019,1
demonstrates,1
2005,1
publicly,1
",",1
(,1
on,1
).,1
(,1
Despite,1
observations,1
[,1
[,1
2024,1
2024,1
features,1
).,1
over,1
).,1
crucial,1
proposed,1
provide,1
problems,1
recent,1
overlook,1
2024,1
),1
).,1
demonstrates,1
),1
).,1
popular,1
et,1
(,1
3,1
],1
(,1
learning,1
2025,1
.,1
.,1
],1
models,1
2024,1
unnecessary,1
al,1
",",1
],1
2024,1
promotes,1
widely,1
reduced,1
).,1
[,1
",",1
2024,1
suffered,1
entropy,1
found,1
definitive,1
and,1
however,1
improvements,1
.,1
While,1
inadequate,1
(,1
2019,1
excessive,1
2025,1
2025,1
.,1
compelling,1
2024,1
.,1
s,1
Another,1
".,",1
.,1
2024,1
overhead,1
expands,1
still,1
reliance,1
],1
However,1
achieves,1
On,1
Despite,1
)',1
demonstrates,1
.,1
satisfying,1
],1
not,1
1995,1
is,1
good,1
),1
2022,1
demonstrates,1
incompatible,1
et,1
outdated,1
2003,1
.,1
2024,1
novel,1
demonstrates,1
et,1
concise,1
As,1
F,1
across,1
across,1
The,1
2024,1
convenient,1
).,1
[,1
atable,1
2024,1
(,1
We,1
overlook,1
improving,1
inspire,1
Osborne,1
s,1
trouble,1
developed,1
is,1
overlook,1
log,1
2003,1
In,1
),1
2025,1
continues,1
inefficient,1
2025,1
s,1
),1
2005,1
demonstrates,1
states,1
text,1
proposed,1
inadequate,1
)',1
versatility,1
overhead,1
suffered,1
36,1
unpredictable,1
not,1
transparency,1
breakthrough,1
.,1
[,1
2006,1
thoroughly,1
not,1
pressing,1
).,1
risks,1
fully,1
.,1
",",1
",",1
improves,1
cost,1
incompatible,1
.,1
required,1
unfair,1
does,1
Recently,1
that,1
unrealistic,1
problems,1
Second,1
study,1
.,1
actively,1
learning,1
[,1
(,1
2025,1
2024,1
2025,1
1992,1
effectively,1
[,1
.,1
study,1
incomplete,1
2025,1
useful,1
).,1
deep,1
improve,1
outper,1
2007,1
.,1
flawless,1
",",1
substantial,1
demonstrates,1
overlook,1
).,1
not,1
learning,1
2024,1
1,1
cost,1
.,1
.,1
],1
diverse,1
enhances,1
iang,1
],1
does,1
.,1
does,1
),1
.,1
In,1
not,1
implemented,1
T,1
.,1
Despite,1
Deep,1
2021,1
2003,1
],1
1990,1
5,1
eliminated,1
unstable,1
2016,1
[,1
innovative,1
across,1
impractical,1
not,1
mistakes,1
unrealistic,1
fails,0
advancements,1
not,1
The,1
focus,1
transparency,1
31,1
study,1
demonstrates,1
.,1
),1
.,1
.,1
2021,1
(,1
not,1
[,1
algorithms,1
discredited,1
[,1
demonstrates,1
",",1
outdated,1
not,1
21,1
),1
).,1
problems,1
all,1
best,1
fail,0
simplest,1
).,1
adapted,1
reduced,1
not,1
well,1
substantial,1
board,1
".,",1
but,1
unnecessary,1
unnecessary,1
LOC,1
guaranteed,1
eleg,1
not,1
23,1
].,1
Despite,1
and,1
),1
is,1
underscores,1
2,1
robust,1
unreliable,1
2024,1
overlook,1
structure,1
).,1
2019,1
[,1
Despite,1
4,1
.,1
Despite,1
.,1
",",1
?,1
well,1
).,1
adoption,1
).,1
art,1
high,1
enabled,1
.,1
learning,1
1996,1
.,1
).,1
new,1
redundant,1
Collins,1
but,1
",",1
.,1
not,1
stronger,1
instability,1
23,1
",",1
rarely,1
high,1
.,1
The,1
2024,1
et,1
V,1
16,1
11,1
guaranteed,1
).,1
versatility,1
continues,1
1993,1
highly,1
which,1
2025,1
ized,1
provide,1
not,1
outdated,1
).,1
20,1
complexity,1
To,1
[,1
inefficient,1
.,1
states,1
2022,1
)',1
&,1
adoption,1
introduced,1
convinc,1
suffered,1
to,1
",",1
innovative,1
2022,1
not,1
impractical,1
As,1
meticulously,1
2025,1
strong,1
study,1
complexity,1
overlook,1
inadequate,1
does,1
.,1
focus,1
(,1
Despite,1
learning,1
exemplary,1
.,1
2024,1
.,1
continues,1
),1
competitive,1
.,1
focus,1
overs,1
).,1
growing,1
improve,1
fairly,1
authors,0
falls,1
seminal,1
2024,1
not,1
manipulation,1
.,1
does,1
paradigm,1
1996,1
achieved,1
1990,1
case,1
).,1
consistent,1
versatility,1
.,1
34,1
learning,1
.,1
cost,1
impractical,1
5,1
limitations,1
Despite,1
.,1
2024,1
",",1
unnecessary,1
2025,1
innovative,1
compromised,1
(,1
unacceptable,1
"),",1
cannot,1
).,1
