sentence,is_citation,Multi_Citation_Flag,is_narrative,ground_truth,BART_pred,T5_pred,SciBERT_pred,RoBERTa_pred,DeepSeek_pred,LLaMA3_pred,BART_is_correct,T5_is_correct,SciBERT_is_correct,RoBERTa_is_correct,DeepSeek_is_correct,LLaMA3_is_correct,Citation_Relative_Position,Sentence_Length,Negation_Count,Semantic_Depth
_44 Thanks!! It was a bit out of my comfort zone but it was fun,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,15,0,1
"The successful integration of physics-informed control by (Adams & Brown, 2025) improved the stability and efficiency of industrial plant operations.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.3841,20,0,0
"TBI management faces multiple challenges in special populations, such as pediatric patients, elderly people, and soldiers.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,16,0,1
This score indicates how important the phrase is in the local context.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1
"With the growing demand for intelligent systems, deep learning remains at the forefront of technological innovation [3109]. Despite challenges, deep learning holds immense potential for solving real-world problems. The applications of deep learning are growing exponentially, demonstrating its versatility.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3791,39,0,1
"It`s Friday and sun is shining and its quite warm already, Just walked the dog, He is so freaky hyper",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,20,0,1
"Advances in biotechnology are opening new avenues in personalized medicine, where treatments are tailored to individual genetic profiles.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,18,0,1
"2 Extracting paraphrases Much previous work on extracting paraphrases (Barzilay and McKeown, 2001; Barzilay and Lee, 2003; Pang et al. , 2003) has focused on finding identifying contexts within aligned monolingual sentences from which divergent text can be extracted, and treated as paraphrases.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2333,43,0,1
"Finally, the parameters  i of the log-linear model (18) are learned by minimumerror-rate training (Och 2003), which tries to set the parameters so as to maximize the BLEU score (Papineni et al. 2002) of a development set.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4434,37,0,1
"TER-based: TER-based word alignment method (Sim et al., 2007; Rosti et al., 2007a; Rosti et al., 2007b) is an extension of multiple string matching algorithm based on Levenshtein edit distance (Bangalore et al., 2001).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1982,34,0,1
"We use the cosine similarity measure for windowbased contexts and the following commonly used similarity measures for the syntactic vector space: Hindles (1990) measure, the weighted Lin measure (Wu and Zhou, 2003), the -Skew divergence measure (Lee, 1999), the Jensen-Shannon (JS) divergence measure (Lin, 1991), Jaccards coef cient (van Rijsbergen, 1979) and the Confusion probability (Essen and Steinbiss, 1992).",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3435,59,0,1
