sentence_id,Global_Gap,Semantic_Depth,Negation_Norm,model_error_col,is_error,model,HPI_global,HPI_bin
0,0.18678122605363978,0,0.0,BART_is_error,0,BART,0.37185330463687094,"(0.008730000000000002, 0.522]"
1,0.2346866096866097,1,0.0,BART_is_error,0,BART,2.042287277881191,"(1.926, 2.175]"
2,0.1082410714285714,0,0.5,BART_is_error,0,BART,0.559782425490438,"(0.522, 1.664]"
3,0.10402380952380949,1,0.0,BART_is_error,0,BART,1.7821573116088256,"(1.664, 1.926]"
4,0.20790423280423276,1,0.5,BART_is_error,1,BART,2.333258343050689,"(2.175, 3.508]"
5,0.2141238095238095,1,0.0,BART_is_error,0,BART,2.001349838103764,"(1.926, 2.175]"
6,0.4487179487179487,1,0.0,BART_is_error,0,BART,2.4683914554595185,"(2.175, 3.508]"
7,0.0895156862745098,0,1.0,BART_is_error,0,BART,0.8667937483609196,"(0.522, 1.664]"
8,0.2333333333333333,0,1.0,BART_is_error,0,BART,1.1531130345859955,"(0.522, 1.664]"
9,0.026765517241379252,0,0.5,BART_is_error,0,BART,0.39757686173143814,"(0.008730000000000002, 0.522]"
10,0.21759999999999996,0,0.0,BART_is_error,0,BART,0.43320884437146734,"(0.008730000000000002, 0.522]"
11,0.0594428571428571,1,0.0,BART_is_error,0,BART,1.6934033462506832,"(1.664, 1.926]"
12,0.05297912087912085,1,0.0,BART_is_error,0,BART,1.6805350203447311,"(1.664, 1.926]"
13,0.32877619047619044,1,0.0,BART_is_error,0,BART,2.2296054697987007,"(2.175, 3.508]"
14,0.2489367924528301,1,0.0,BART_is_error,0,BART,2.0706572466690423,"(1.926, 2.175]"
15,0.3333333333333333,1,0.0,BART_is_error,0,BART,2.2386780552342636,"(2.175, 3.508]"
16,0.12083333333333325,1,0.0,BART_is_error,0,BART,1.8156225431527524,"(1.664, 1.926]"
17,0.5162842607313195,1,0.0,BART_is_error,0,BART,2.602905811827875,"(2.175, 3.508]"
18,0.24882764976958516,1,0.0,BART_is_error,0,BART,2.0704399600161008,"(1.926, 2.175]"
19,0.273236741388737,1,0.0,BART_is_error,0,BART,2.1190347870955586,"(1.926, 2.175]"
20,0.3654333333333333,0,0.5,BART_is_error,0,BART,1.07181350343642,"(0.522, 1.664]"
21,0.08445,0,1.0,BART_is_error,0,BART,0.8567087295331218,"(0.522, 1.664]"
22,0.14525862068965512,1,0.0,BART_is_error,0,BART,1.864249613506949,"(1.664, 1.926]"
23,0.044407894736842105,1,0.0,BART_is_error,0,BART,1.6634709993339634,"(0.522, 1.664]"
24,0.15119047619047615,1,0.0,BART_is_error,0,BART,1.8760590448786827,"(1.664, 1.926]"
25,0.1191295566502463,1,0.0,BART_is_error,0,BART,1.8122305802485834,"(1.664, 1.926]"
26,0.1646634615384615,1,0.0,BART_is_error,0,BART,1.9028817305994292,"(1.664, 1.926]"
27,0.28653333333333325,0,0.5,BART_is_error,0,BART,0.9147354803623907,"(0.522, 1.664]"
28,0.3829365079365079,1,0.0,BART_is_error,0,BART,2.337430509034803,"(2.175, 3.508]"
29,0.11247504057124305,1,0.0,BART_is_error,0,BART,1.798982440448784,"(1.664, 1.926]"
30,0.15402298850574708,1,0.0,BART_is_error,0,BART,1.881698150516396,"(1.664, 1.926]"
31,0.0799216216216216,0,0.5,BART_is_error,0,BART,0.5034026638906931,"(0.008730000000000002, 0.522]"
