sentence,is_citation,Multi_Citation_Flag,is_narrative,ground_truth,BART_pred,T5_pred,SciBERT_pred,RoBERTa_pred,DeepSeek_pred,LLaMA3_pred,BART_is_correct,T5_is_correct,SciBERT_is_correct,RoBERTa_is_correct,DeepSeek_is_correct,LLaMA3_is_correct,Citation_Relative_Position,Sentence_Length,Negation_Count,Semantic_Depth,BART_shap_pos,BART_shap_keyword_token,BART_shap_pos_abs_dist,T5_shap_pos,T5_shap_keyword_token,T5_shap_pos_abs_dist,SCIBERT_shap_pos,SCIBERT_shap_keyword_token,SCIBERT_shap_pos_abs_dist,ROBERTA_shap_pos,ROBERTA_shap_keyword_token,ROBERTA_shap_pos_abs_dist,DEEPSEEK_shap_pos,DEEPSEEK_shap_keyword_token,DEEPSEEK_shap_pos_abs_dist,LLAMA3_shap_pos,LLAMA3_shap_keyword_token,LLAMA3_shap_pos_abs_dist,BART_is_error,T5_is_error,SciBERT_is_error,RoBERTa_is_error,DeepSeek_is_error,LLaMA3_is_error,Negation_Norm,BART_HI_Score,T5_HI_Score,SciBERT_HI_Score,RoBERTa_HI_Score,DeepSeek_HI_Score,LLaMA3_HI_Score,Global_Gap,HPI_global
"The successful integration of physics-informed control by (Adams & Brown, 2025) improved the stability and efficiency of industrial plant operations.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.3841,20,0,0,0.5555555555555556,2025,0.1714555555555555,0.96875,.,0.58465,0.5357142857142857,202,0.1516142857142857,0.5555555555555556,2025,0.1714555555555555,0.0666666666666666, successful,0.3174333333333333,0.5862068965517241,202,0.2021068965517241,0,0,0,0,0,0,0.0,0.2777648557636341,-1.3274172866575589,0.1424450572074561,0.7342547756460589,0.3056443659869976,0.1951096030800204,0.18678122605363978,0.37185330463687094
"With the growing demand for intelligent systems, deep learning remains at the forefront of technological innovation [3109]. Despite challenges, deep learning holds immense potential for solving real-world problems. The applications of deep learning are growing exponentially, demonstrating its versatility.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3791,39,0,1,0.06,growing ,0.3191,0.6730769230769231,problems,0.2939769230769231,0.2037037037037037,remains ,0.1753962962962963,0.98,.,0.6009,0.3529411764705882, [,0.0261588235294117,0.2083333333333333, learning,0.1707666666666666,0,0,0,0,0,0,0.0,3.107186795791153,0.3498137714023961,1.7281192906039895,4.905911971905804,1.6496268659486544,0.7997928474185219,0.2346866096866097,2.042287277881191
"The paper in [4717] overstates the impact of its findings, leading to misleading conclusions about its effectiveness. The research presents incremental improvements rather than groundbreaking advancements. Several important benchmarks are missing, making it difficult to evaluate the method's effectiveness. The lack of proper statistical analysis weakens the credibility of the findings.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0335,51,1,0,0.140625,states ,0.107125,0.2463768115942029,to ,0.2128768115942029,0.1029411764705882,] ,0.0694411764705882,0.015625,The ,0.017875,0.1666666666666666,states,0.1331666666666666,0.1428571428571428,states,0.1093571428571428,0,0,0,0,0,0,0.5,0.7224509976903489,-0.0129767331809179,0.1204385468534337,0.5534669683327984,0.4140101444808108,0.0133769185404613,0.1082410714285714,0.559782425490438
"Similarly, Vadhera and Sharma [ 93 ] implemented a hybrid CNN-Transformer model for PE detection in HRCT scans, achieving a sensitivity of 93.24%.",1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.2055,23,0,1,0.7777777777777778,achieving ,0.5722777777777778,0.7727272727272727,achieving ,0.5672272727272727,0.2857142857142857,] ,0.0802142857142857,0.3333333333333333,implemented ,0.1278333333333333,0.2105263157894736, [,0.0050263157894736,0.2285714285714285, [,0.0230714285714285,0,0,0,0,0,0,0.0,3.51734491927182,-0.2705868746441211,1.6386936347127936,2.8800140179231315,1.6292791858166935,0.6572110762210401,0.10402380952380949,1.7821573116088256
"By doing so we must emphasize that, as described in the previous section, the BLEU score was not designed to deliver satisfactory results at the sentence level (Papineni et al., 2002), and this also applies to the closely related NIST score.",1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0.6626,41,1,1,0.4814814814814814,satisfactory ,0.1811185185185185,0.4464285714285714,satisfactory ,0.2161714285714285,0.4716981132075472,satisfactory ,0.1909018867924528,0.4074074074074074,not ,0.2551925925925926,0.3818181818181818, not,0.2807818181818181,0.4629629629629629, satisfactory,0.199637037037037,1,1,0,1,0,0,0.5,3.4325554927369484,0.9968160308533476,1.7978841321832133,3.9023450015320895,2.180582644249617,0.7354695859996757,0.20790423280423276,2.333258343050689
"The generalization ability of deep learning models remains a significant challenge, especially when applied to real-world scenarios [3518]. The unpredictable behavior of some AI models adds another layer of complexity to their deployment.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5546,33,0,1,0.0238095238095238,The ,0.5307904761904761,0.0,The ,0.5546,0.5952380952380952,. ,0.0406380952380952,0.3809523809523809,applied ,0.173647619047619,0.5, [,0.0545999999999999,0.3, challenge,0.2546,0,0,0,0,0,0,0.0,3.4501338318032357,-0.2419173114840744,1.6015109069119466,3.0762127235849457,1.6770117825199362,0.8807237244475283,0.2141238095238095,2.001349838103764
"Deep learning continues to revolutionize multiple domains, enhancing automation and efficiency in ways previously unimaginable [3042]. Additionally, research efforts are consistently expanding the capabilities of deep learning models.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5427,28,0,1,0.0277777777777777,Deep ,0.5149222222222223,0.9743589743589745,.,0.4316589743589744,0.0769230769230769,continues ,0.465776923076923,0.4722222222222222,unimaginable ,0.0704777777777777,0.5, [,0.0426999999999999,0.0555555555555555, learning,0.4871444444444444,0,0,0,0,0,0,0.0,3.424426625872048,0.037213865588204,2.0009384698708543,2.634390069255841,1.6655537295264091,1.105217074393198,0.4487179487179487,2.4683914554595185
"The findings in [4534] are based on limited data, reducing the reliability of the reported results. Despite initial promises, the approach does not perform well under real-world conditions. Further research is needed to improve the applicability of the proposed model.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0597,40,2,0,0.0769230769230769,[,0.0172230769230768,0.3090909090909091,reliability ,0.249390909090909,0.0784313725490196,[,0.0187313725490196,0.0769230769230769,[,0.0172230769230769,0.5961538461538461, not,0.5364538461538462,0.22, limited,0.1603,0,0,0,0,0,0,1.0,1.125710501744428,0.3744688639466599,0.1279925248493823,1.027592782025378,1.0881089570739024,-0.0296380441184423,0.0895156862745098,0.8667937483609196
[35] fails to address key issues that limit its practical use.,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,11,2,0,0.2666666666666666,fails ,0.2666666666666666,0.0714285714285714,35,0.0714285714285714,0.2,] ,0.2,0.0666666666666666,[,0.0666666666666666,0.3333333333333333, fails,0.3333333333333333,0.2857142857142857, fails,0.2857142857142857,0,0,0,0,0,0,1.0,1.5298190912957352,0.7785230560051162,0.2982985081248027,1.239333905120989,0.8925320158999673,0.0914341801538065,0.2333333333333333,1.1531130345859955
"The claims in [661] are exaggerated, as the improvements demonstrated are marginal at best. The statistical methods used in the study are outdated and insufficient. A deeper theoretical analysis is missing, making the conclusions less convincing. Several key assumptions remain unverified, affecting the reliability of the findings.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0422,47,1,0,0.0689655172413793,[,0.0267655172413792,0.328125,. ,0.285925,0.0634920634920634,[,0.0212920634920634,0.0689655172413793,[,0.0267655172413793,0.0677966101694915, [,0.0255966101694915,0.0701754385964912, [,0.0279754385964912,0,0,0,0,0,0,0.5,0.5922654223943882,-0.1788288293903993,0.0752013640879578,0.5915404196204774,0.3104350681899426,-0.0651872090928957,0.026765517241379252,0.39757686173143814
